Park,Region,State,Year,Month,Recreation Visits
Arches,Intermountain,UT,2016,March,119122
Arches,Intermountain,UT,2016,April,151112
Arches,Intermountain,UT,2016,May,201718
Arches,Intermountain,UT,2016,June,211706
Arches,Intermountain,UT,2016,July,210359
Arches,Intermountain,UT,2016,August,188340
Arches,Intermountain,UT,2016,September,200906
Arches,Intermountain,UT,2016,October,146250
Arches,Intermountain,UT,2016,November,69404
Arches,Intermountain,UT,2016,December,33290
Arches,Intermountain,UT,2017,January,21549
Arches,Intermountain,UT,2017,February,38248
Arches,Intermountain,UT,2017,March,128508
Arches,Intermountain,UT,2017,April,155286
Arches,Intermountain,UT,2017,May,188726
Arches,Intermountain,UT,2017,June,193060
Arches,Intermountain,UT,2017,July,192767
Arches,Intermountain,UT,2017,August,177764
Arches,Intermountain,UT,2017,September,187603
Arches,Intermountain,UT,2017,October,138325
Arches,Intermountain,UT,2017,November,72867
Arches,Intermountain,UT,2017,December,44325
Arches,Intermountain,UT,2018,January,31810
Arches,Intermountain,UT,2018,February,40325
Arches,Intermountain,UT,2018,March,134951
Arches,Intermountain,UT,2018,April,167156
Arches,Intermountain,UT,2018,May,215255
Arches,Intermountain,UT,2018,June,214443
Arches,Intermountain,UT,2018,July,205493
Arches,Intermountain,UT,2018,August,183840
Arches,Intermountain,UT,2018,September,206254
Arches,Intermountain,UT,2018,October,147996
Arches,Intermountain,UT,2018,November,74155
Arches,Intermountain,UT,2018,December,41879
Arches,Intermountain,UT,2019,January,21499
Arches,Intermountain,UT,2019,February,30239
Arches,Intermountain,UT,2019,March,132191
Arches,Intermountain,UT,2019,April,168788
Arches,Intermountain,UT,2019,May,217474
Arches,Intermountain,UT,2019,June,225206
Arches,Intermountain,UT,2019,July,208993
Arches,Intermountain,UT,2019,August,184890
Arches,Intermountain,UT,2019,September,207857
Arches,Intermountain,UT,2019,October,149764
Arches,Intermountain,UT,2019,November,73420
Arches,Intermountain,UT,2019,December,39381
Arches,Intermountain,UT,2020,January,28462
Arches,Intermountain,UT,2020,February,42416
Arches,Intermountain,UT,2020,March,81623
Arches,Intermountain,UT,2020,April,0
Arches,Intermountain,UT,2020,May,13832
Arches,Intermountain,UT,2020,June,163699
Arches,Intermountain,UT,2020,July,193824
Arches,Intermountain,UT,2020,August,164539
Arches,Intermountain,UT,2020,September,203866
Arches,Intermountain,UT,2020,October,177864
Arches,Intermountain,UT,2020,November,103916
Arches,Intermountain,UT,2020,December,64042
Arches,Intermountain,UT,2021,January,48725
Arches,Intermountain,UT,2021,February,53986
Arches,Intermountain,UT,2021,March,151077
Arches,Intermountain,UT,2021,April,193914
Arches,Intermountain,UT,2021,May,225789
Arches,Intermountain,UT,2021,June,238499
Arches,Intermountain,UT,2021,July,211928
Arches,Intermountain,UT,2021,August,167686
Arches,Intermountain,UT,2021,September,193002
Arches,Intermountain,UT,2021,October,169983
Arches,Intermountain,UT,2021,November,98362
